"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu1318";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";NA;NA;NA;NA;NA;NA;NA
"Otu584";0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;3;3;0;0;0;0;0;1;0;1;0;0;0;0;1;2;0;0;0;0;1;3;0;0;1;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"Flamella-lineage";"Flamella-lineage_X";"Flamella-lineage_X_sp.";NA;NA;NA;NA
"Otu1295";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Protosteliida";"Protosteliida_X";"Protostelium";"Protostelium_mycophagum";NA;NA;NA;NA
"Otu1872";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Eumycetozoa";"Myxogastria_Columellidia";"Myxogastria_Columellidia_X";"Lamproderma";NA;NA;NA;NA;NA
"Otu901";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Fractovitellida";"Schizoplasmodiidae";NA;NA;NA;NA;NA;NA
"Otu126";3;4;1;6;5;2;2;13;2;9;9;1;8;2;2;7;1;4;9;7;5;11;17;6;5;8;13;25;0;22;6;6;13;12;21;11;9;0;0;8;7;4;10;2;12;8;0;0;0;0;0;5;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;5;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;1;0;4;1;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";"Filamoebidae";"Filamoeba";NA;NA;NA;NA;NA
"Otu64";0;3;2;7;2;4;10;3;0;4;1;2;1;1;1;3;1;2;8;6;7;5;10;7;17;6;6;11;1;6;8;19;11;12;11;23;7;33;11;14;42;25;17;48;13;26;89;30;9;49;18;34;37;40;19;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu564";0;0;0;1;1;0;0;0;0;1;0;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;5;2;1;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";NA;NA;NA;NA;NA;NA;NA
"Otu436";0;0;5;2;3;1;1;2;1;1;6;0;3;1;3;7;0;1;3;2;0;0;1;0;0;2;2;0;0;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;1;1;0;2;0;4;3;1;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Otu966";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";NA;NA;NA;NA;NA;NA;NA
"Otu367";1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;3;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;2;1;0;2;0;0;3;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Eumycetozoa";"Myxogastria_Columellidia";"Didymiaceae";"Didymium";"Didymium_iridis";NA;NA;NA;NA
"Otu322";0;0;0;1;0;0;0;1;0;4;1;1;0;0;0;0;0;2;3;2;1;4;0;3;0;3;1;0;0;1;0;0;7;4;0;5;4;3;0;6;0;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"Flamella-lineage";NA;NA;NA;NA;NA;NA
"Otu37";3;14;25;20;13;20;31;17;48;12;14;7;10;20;13;15;9;25;27;37;28;30;26;40;42;38;21;18;31;23;29;29;34;24;36;30;29;15;18;50;23;33;39;26;28;42;8;60;86;24;40;51;57;44;58;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;2;1;2;0;0;0;2;1;4;0;0;9;2;3;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu1777";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";"Filamoebidae";"Filamoeba";NA;NA;NA;NA;NA
"Otu628";0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;1;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";"Filamoebidae";"Filamoeba";NA;NA;NA;NA;NA
"Otu533";0;0;0;0;4;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;1;0;2;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu1372";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"WIM80-lineage";"WIM80-lineage_X";"WIM80-lineage_X_sp.";NA;NA;NA;NA
"Otu1927";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Protosteliida";"Protosteliida_X";"Protostelium";NA;NA;NA;NA;NA
"Otu1479";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Protosteliida";"Protosteliida_X";"Protostelium";"Protostelium_nocturnum";NA;NA;NA;NA
"Otu827";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu760";0;0;1;0;0;0;0;1;2;0;2;0;0;4;1;0;0;1;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu1506";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu430";4;1;0;1;0;2;0;3;1;5;1;0;0;0;2;3;3;0;0;0;0;0;3;1;1;0;6;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;1;2;1;0;2;6;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";NA;NA;NA;NA;NA;NA;NA
"Otu1395";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Archamoebea";"Mastigamoebida";"Mastigamoebidae";"Mastigamoeba";NA;NA;NA;NA;NA
"Otu101";0;1;0;2;1;2;2;5;2;4;3;1;12;3;0;8;3;9;9;16;10;9;15;7;6;7;3;4;3;5;7;16;7;3;10;11;15;34;17;15;18;5;14;13;10;7;1;6;4;10;31;3;6;6;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;1;0;2;0;0;0;0;0;2;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu1792";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Eumycetozoa";"Myxogastria_Columellidia";"Myxogastria_Columellidia_X";NA;NA;NA;NA;NA;NA
"Otu237";0;3;1;0;2;1;0;0;0;1;8;0;0;1;2;1;0;6;5;1;1;11;0;3;2;5;4;5;0;4;7;4;1;2;4;2;0;0;1;0;0;3;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";NA;NA;NA;NA;NA;NA;NA
"Otu1496";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu1273";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu781";0;1;0;0;0;0;0;1;1;0;3;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";NA;NA;NA;NA;NA;NA;NA
"Otu1543";2;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Protosteliida";"Protosteliida_X";"Protostelium";NA;NA;NA;NA;NA
"Otu412";0;4;0;0;0;0;0;2;0;3;4;0;0;2;0;0;0;2;0;0;4;5;5;4;2;3;3;0;0;2;4;1;2;2;0;1;5;3;0;0;1;5;2;1;3;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";NA;NA;NA;NA;NA;NA;NA
"Otu1460";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";NA;NA;NA;NA;NA;NA;NA
"Otu745";0;0;0;3;4;0;1;3;0;2;2;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;4;0;0;1;1;0;0;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Otu1283";0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";NA;NA;NA;NA;NA;NA;NA
"Otu697";0;0;0;2;0;0;1;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;1;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu1696";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";NA;NA;NA;NA;NA;NA;NA
"Otu1655";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu1272";0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";NA;NA;NA;NA;NA;NA;NA
"Otu1352";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu1167";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu438";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;0;1;4;1;5;7;2;4;0;2;5;0;1;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"Flamella-lineage";NA;NA;NA;NA;NA;NA
"Otu505";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;2;0;0;1;4;0;0;1;7;4;0;6;0;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Fractovitellida";"Soliformoviidae";"Grellamoeba";"Grellamoeba_robusta";NA;NA;NA;NA
"Otu896";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";NA;NA;NA;NA;NA;NA;NA
"Otu1034";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";NA;NA;NA;NA;NA;NA;NA
"Otu1265";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
