"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF144";"HF149";"HF151";"HF152";"HF158";"HF159";"HF160";"HF162";"HF163";"HF164";"HF169";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu50";0;0;0;0;0;0;1;0;0;0;0;0;18;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;17;0;0;0;0;72;0;0;2;11;1;1;1;4;1;6;0;0;60;0;1;2;7;1;1;5;1;29;1;1;0;77;1;0;1;0;2;0;2;2;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Hexapoda";"Collembola";"Collembola_X";"Collembola_X_sp.";NA;NA;NA;NA
"Otu18";28;6;0;14;2;0;0;1;0;0;0;14;64;4;0;2;0;14;1;1;1;0;88;6;0;0;0;0;1;0;0;58;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;1;0;0;0;0;1;10;0;0;0;65;0;0;63;0;0;0;0;2;5;45;2;0;75;0;1;3;0;0;0;0;1;0;0;7;0;0;1;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Enoplea";"Enoplea_X";"Enoplea_XX";"Enoplea_XX_sp.";NA;NA;NA;NA
"Otu20";16;0;19;0;3;3;0;0;49;0;0;0;0;0;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;5;4;76;0;23;3;46;43;3;1;5;22;0;52;68;0;0;50;63;0;5;6;1;1;20;0;0;13;1;19;6;0;0;1;14;1;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Tardigrada";"Tardigrada_X";"Tardigrada_XX";"Tardigrada_XXX";"Tardigrada_XXX_sp.";NA;NA;NA;NA
"Otu26";3;16;3;0;7;56;0;3;38;5;4;60;3;4;9;35;3;37;0;30;18;6;7;0;0;4;20;0;53;3;27;15;17;47;64;35;7;37;58;31;36;10;1;5;25;7;1;1;0;1;1;0;21;44;4;21;5;6;12;32;4;2;0;0;0;0;0;4;3;5;3;1;6;2;0;0;2;3;2;0;0;0;3;1;2;2;0;0;2;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Mollusca";"Gastropoda";"Caenogastropoda";"Viviparus";"Viviparus_georgianus";NA;NA;NA;NA
"Otu52";9;5;44;1;53;9;28;34;4;4;23;5;9;19;19;25;1;3;23;0;28;26;1;0;0;8;2;1;26;0;62;12;28;10;16;9;38;0;3;8;0;0;0;0;0;1;0;0;0;2;5;0;16;5;0;6;0;7;1;6;1;2;1;4;0;17;0;4;0;7;20;0;0;0;6;5;10;12;5;10;1;1;0;4;0;0;0;6;0;3;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Rotifera";"Rotifera_X";"Rotifera_XX";"Rotifera_XXX";"Rotifera_XXX_sp.";NA;NA;NA;NA
"Otu357";0;24;0;0;1;2;0;0;0;1;2;7;1;0;4;0;5;10;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;2;0;0;1;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Hexapoda";"Collembola";"Collembola_X";"Collembola_X_sp.";NA;NA;NA;NA
"Otu141";0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;5;15;0;10;1;0;14;0;2;12;0;3;3;0;3;3;4;0;0;29;24;6;7;8;0;1;1;2;2;31;35;2;0;0;1;2;1;9;17;0;2;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Plectus";NA;NA;NA;NA;NA
"Otu159";0;0;11;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;2;12;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;22;10;0;0;0;1;1;0;2;1;8;0;11;2;0;0;0;0;0;0;0;0;3;1;0;0;0;2;11;1;0;13;0;1;4;1;2;1;0;3;0;0;1;0;1;0;6;2;0;4;0;1;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";NA;NA;NA;NA;NA;NA
"Otu395";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;1;12;1;0;3;0;0;1;2;1;3;1;0;0;2;3;1;1;0;1;1;0;1;3;7;1;1;1;1;1;2;0;0;2;2;0;1;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Chromadorea_XX";"Chromadorea_XX_sp.";NA;NA;NA;NA
"Otu193";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;4;4;0;0;21;9;0;26;0;0;0;0;0;0;0;5;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";NA;NA;NA;NA;NA;NA
"Otu1093";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Aphelenchoides";"Aphelenchoides_sp.";NA;NA;NA;NA
"Otu10";0;2;0;16;0;11;7;2;4;16;1;4;2;60;6;3;97;6;5;21;5;13;2;9;108;85;12;109;5;99;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;77;0;1;0;4;0;0;1;1;0;71;3;0;5;0;0;0;48;1;0;3;8;0;1;1;2;3;0;2;0;30;0;0;0;0;14;1;0;5;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Meloidogyne";NA;NA;NA;NA;NA
"Otu468";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;25;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Ditylenchus";"Ditylenchus_destructor";NA;NA;NA;NA
"Otu552";2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;1;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Chelicerata";"Arachnida";NA;NA;NA;NA;NA;NA
"Otu49";0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;74;2;1;13;0;0;31;1;1;4;0;1;1;2;0;0;2;1;0;0;0;17;1;0;0;2;0;0;0;3;0;0;2;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Chelicerata";"Arachnida";"Tectocepheus";NA;NA;NA;NA;NA
"Otu1111";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Hexapoda";"Collembola";"Collembola_X";"Collembola_X_sp.";NA;NA;NA;NA
"Otu185";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;65;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Annelida";"Annelida_X";"Annelida_XX";"Enchytraeus";NA;NA;NA;NA;NA
"Otu1845";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";NA;NA;NA;NA;NA;NA
"Otu853";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";NA;NA;NA;NA;NA;NA
"Otu1483";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Myriapoda";"Diplopoda";NA;NA;NA;NA;NA;NA
"Otu1300";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";NA;NA;NA;NA;NA;NA
"Otu97";27;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;43;12;0;2;12;0;20;7;4;27;15;50;0;0;5;55;67;26;0;10;12;22;0;36;0;1;10;1;0;15;2;0;76;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Helicotylenchus";NA;NA;NA;NA;NA
"Otu77";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Hexapoda";"Insecta";NA;NA;NA;NA;NA;NA
"Otu479";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;4;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Tardigrada";"Tardigrada_X";"Tardigrada_XX";NA;NA;NA;NA;NA;NA
"Otu142";2;0;0;0;1;5;0;0;0;0;0;0;3;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;32;0;24;0;5;8;0;0;0;0;11;0;1;0;18;5;2;0;3;3;14;0;4;11;2;8;2;1;0;42;3;0;0;0;0;0;20;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Ditylenchus";"Ditylenchus_destructor";NA;NA;NA;NA
"Otu271";0;1;0;0;0;9;0;3;0;0;1;0;0;0;0;0;0;15;0;0;5;3;0;0;1;0;2;0;0;0;1;1;1;0;6;13;0;3;0;63;41;6;1;0;0;4;0;0;15;0;3;0;0;2;1;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Chelicerata";"Arachnida";NA;NA;NA;NA;NA;NA
"Otu319";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;7;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Tardigrada";"Tardigrada_X";"Tardigrada_XX";NA;NA;NA;NA;NA;NA
"Otu835";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Ditylenchus";"Ditylenchus_destructor";NA;NA;NA;NA
"Otu961";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Aphelenchoides";"Aphelenchoides_sp.";NA;NA;NA;NA
"Otu291";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Chelicerata";"Arachnida";NA;NA;NA;NA;NA;NA
"Otu982";0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;1;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Rotifera";"Rotifera_X";"Rotifera_XX";NA;NA;NA;NA;NA;NA
"Otu519";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;1;0;1;0;0;1;6;2;0;3;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Filenchus";NA;NA;NA;NA;NA
"Otu1803";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Pratylenchus";"Pratylenchus_neglectus";NA;NA;NA;NA
"Otu825";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";NA;NA;NA;NA;NA;NA
"Otu105";5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;16;0;10;1;1;1;8;0;0;0;17;7;1;6;0;0;0;6;0;0;0;0;0;0;0;0;1;12;54;16;0;1;0;59;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Enoplea";"Enoplea_X";"Enoplea_XX";"Enoplea_XX_sp.";NA;NA;NA;NA
"Otu38";0;2;1;0;6;3;2;20;0;2;0;0;1;5;11;9;0;7;0;2;1;0;1;92;0;1;4;0;8;2;0;0;1;0;1;0;1;36;1;3;0;0;63;0;0;8;36;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;2;77;0;0;49;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Hexapoda";"Collembola";"Collembola_X";"Collembola_X_sp.";NA;NA;NA;NA
"Otu1896";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Chelicerata";"Arachnida";NA;NA;NA;NA;NA;NA
