,HF100,HF101,HF102,HF103,HF104,HF105,HF106,HF107,HF108,HF109,HF110,HF112,HF113,HF114,HF115,HF116,HF117,HF119,HF120,HF124,HF125,HF126,HF127,HF129,HF130,HF131,HF132,HF133,HF134,HF135,HF136,HF137,HF138,HF139,HF140,HF142,HF143,HF144,HF149,HF151,HF152,HF153,HF154,HF156,HF158,HF159,HF160,HF161,HF162,HF163,HF164,HF169,HF171,HF172,HF173,HF178,HF41,HF46,HF47,HF50,HF51,HF52,HF53,HF54,HF55,HF56,HF57,HF58,HF59,HF60,HF61,HF62,HF63,HF64,HF65,HF66,HF68,HF71,HF72,HF73,HF74,HF75,HF76,HF77,HF79,HF80,HF81,HF82,HF83,HF84,HF85,HF90,HF91,HF92,HF93,HF94,HF95,HF96,taxonomy,nutrition,morphology,locomotion,habitat
Otu197,18,10,12,5,70,24,7,0,0,16,0,9,0,40,0,24,3,24,2,0,0,1,9,25,38,6,36,10,1,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,1,26,0,1,1,Unassigned,NA,NA,NA,NA
Otu123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu59,0,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,0,0,22,13,0,59,0,0,0,0,7,0,0,2,32,0,0,0,0,7,19,18,0,0,0,0,0,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Group-Te;Group_Te_sp.;,NA,NA,NA,NA
Otu1,206,211,119,264,347,288,392,567,651,364,293,1027,312,1874,236,405,632,177,1408,428,629,1078,387,504,299,164,299,140,166,130,161,431,329,236,548,599,1322,631,1209,1051,613,1227,4215,1052,1096,1211,1459,1784,1375,2673,1178,1544,1560,471,3777,2315,686,445,445,662,308,151,801,631,692,1539,579,387,422,366,596,836,313,400,498,407,1718,638,567,324,432,724,481,505,525,265,325,401,225,718,375,503,1191,609,558,466,724,346,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Group-Te;Group_Te_sp.;,NA,NA,NA,NA
Otu20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,1,6,0,0,31,0,0,3,0,6,5,83,0,0,19,0,88,7,5,19,0,0,144,0,36,71,54,112,39,208,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae;Sandonidae_X;Sandonidae_X_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu208,4,3,6,20,8,2,3,34,51,3,3,51,2,31,6,11,19,4,36,1,13,2,6,38,1,2,5,0,0,9,2,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17,20,7,15,6,21,18,5,61,4,6,2,3,6,1,3,22,17,2,116,5,11,1,10,20,44,1,22,0,17,6,4,54,9,39,118,13,3,0,12,4,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Group-Te;Group_Te_sp.;,NA,NA,NA,NA
Otu26,4,10,0,0,0,0,0,4,0,0,0,0,0,1,0,5,8,10,0,0,5,5,18,3,1,0,14,8,1,0,0,16,21,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,30,0,66,0,0,0,0,2,0,0,Unassigned,NA,NA,NA,NA
Otu7,0,0,0,80,0,0,1,1,0,0,1,1,2,76,0,0,1,0,1,43,120,843,79,1,48,25,65,1,2,0,2,7,4,111,299,2,1,5,278,0,203,0,1333,69,12,33,178,0,0,0,0,0,0,0,0,0,3,1,3,1,255,0,0,2119,7,312,1,5,6,2,3,4,27,44,7,0,30,0,0,0,8,0,0,0,34,0,8,0,3,3,0,0,83,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu52,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,19,0,0,2,0,15,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Group-Te;Group_Te_sp.;,NA,NA,NA,NA
Otu5,0,19,0,5,0,6,0,0,0,0,0,0,0,0,3,0,6,6,0,0,0,0,9,1,0,11,17,1,9,6,5,26,0,33,0,239,17,24,63,1,29,101,6,84,105,58,28,183,705,404,242,348,268,183,974,310,1,0,5,1,1,4,8,0,8,12,0,11,0,3,1,4,0,0,12,0,0,15,33,16,15,5,0,0,0,0,16,22,7,17,2,0,1,0,29,0,0,35,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Glissomonadida_XX_sp.;,NA,NA,NA,soil_and_freshwater
Otu121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,2,0,0,5,4,2,0,0,0,Unassigned,NA,NA,NA,NA
Otu30,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,1,0,0,0,11,1,0,19,0,0,0,3,0,6,0,0,11,0,0,0,0,0,0,26,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,394,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allantion;Allantion_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu12,0,15,0,18,0,6,4,5,17,18,38,24,0,21,0,0,1,13,2,0,49,22,23,41,1,11,35,31,25,1,0,35,6,52,106,0,3,0,0,11,0,9,0,54,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,12,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0,Unassigned,NA,NA,NA,NA
Otu29,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,19,0,8,12,22,10,0,0,0,0,0,0,0,15,0,0,62,13,0,0,4,8,0,0,10,19,0,0,0,0,0,25,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,9,0,0,0,0,0,0,0,0,3,0,5,Unassigned,NA,NA,NA,NA
Otu38,1,5,2,3,4,0,1,0,4,0,2,2,2,0,3,2,0,2,2,1,1,3,5,0,0,0,1,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,3,5,0,1,6,11,1,22,5,3,4,1,0,3,0,1,6,2,0,0,6,5,4,0,0,2,2,1,1,2,4,5,1,2,0,3,4,2,4,Unassigned,NA,NA,NA,NA
Otu15,13,10,3,1,2,20,0,10,19,0,0,41,0,1,41,3,0,2,0,0,34,0,2,159,21,26,0,21,9,0,11,25,6,15,2,14,2,131,126,19,109,0,16,16,0,32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,27,19,0,0,5,0,15,4,12,0,3,0,8,0,0,11,3,16,8,7,10,0,5,12,2,18,1,3,0,0,1,5,10,56,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allapsidae_X;Allapsidae_X_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu111,4,7,12,0,0,1,2,0,2,1,1,3,27,85,18,20,19,16,188,15,0,2,1,1,4,7,0,15,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,39,8,45,0,2,2,19,24,6,8,3,5,2,6,24,0,9,5,1,14,2,1,13,0,28,27,26,18,0,2,7,2,23,130,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Group-Te;Group_Te_sp.;,NA,NA,NA,NA
Otu25,0,0,0,1,0,20,12,15,5,16,12,4,40,1,3,0,1,1,3,21,3,19,3,5,0,7,1,0,1,1,2,28,0,0,0,0,273,0,0,0,0,0,0,59,0,0,0,0,166,0,0,0,11,0,0,0,137,208,803,340,24,67,134,54,5,98,38,37,46,54,5,3,4,3,6,0,31,1,2,2,0,31,92,2,1,0,6,3,0,3,0,2,8,3,1,3,1,1,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Group-Te;Group_Te_sp.;,NA,NA,NA,NA
Otu13,0,23,0,0,0,0,130,0,1,208,1,0,3,19,0,1,1,0,1,69,0,105,1,0,0,0,1,103,0,0,164,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Unassigned,NA,NA,NA,NA
Otu57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,9,2,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu41,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,14,0,0,0,6,20,0,2,7,1,0,0,13,0,0,0,0,8,7,29,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Euglyphida;Euglyphidae;Tracheleuglypha;Tracheleuglypha_dentata;,omnivore,testate_cell_silica,gliding,soil_and_freshwater
Otu109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,8,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae;Sandona;Sandona_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu224,8,0,0,0,0,1,2,0,0,1,0,2,0,0,5,1,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,5,0,3,13,12,16,2,3,15,8,8,22,12,15,12,20,28,6,21,4,42,9,4,6,11,6,30,14,19,25,21,8,12,6,23,27,65,30,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Group-Te;Group_Te_sp.;,NA,NA,NA,NA
Otu11,0,0,0,4,0,18,23,0,0,0,19,121,2,6,195,0,4,1,63,0,13,83,0,38,0,1,0,0,34,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,43,0,2,0,56,0,0,0,1,0,18,23,0,0,0,0,0,0,9,0,0,0,23,34,1,0,1,0,1,31,2,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa-Phytomyxea;Plasmodiophorida;Polymyxa-lineage;Polymyxa;Polymyxa_graminis;,plant_parasite,endoparasite,non_motile,soil_and_freshwater
Otu77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,18,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Tectofilosida;Tectofilosida_X;Fisculla,eukaryvore,testate_cell_organic,gliding,soil_and_freshwater
Otu2,1544,56,46,150,57,182,11,22,572,59,32,30,314,12,12,49,93,29,2095,142,12,5,0,18,0,0,0,0,59,1,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,22,0,17,0,80,0,0,0,0,15,7,80,0,70,0,14,0,0,1,1,1,25,26,28,14,926,13,0,0,4,66,37,88,5,351,505,233,31,65,Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa-Phytomyxea;Plasmodiophorida;Plasmodiophorida_X,NA,NA,NA,NA
Otu35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,1,0,0,0,0,0,0,2,18,0,0,0,0,11,0,49,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu14,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,7,0,4,0,4,14,0,7,1,0,12,5,32,0,1,50,19,109,84,124,48,13,41,0,0,129,0,0,181,0,16,181,42,221,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allantion;Allantion_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu74,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,2,2,6,29,0,0,0,0,8,3,0,3,0,7,0,23,0,3,17,8,0,0,0,0,5,0,8,3,3,0,0,5,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allapsidae_X;Allapsidae_X_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu153,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu3,29,1,1,82,0,1,46,6,1,1,0,2,2,16,92,12,17,1,0,0,1,2,0,6,0,5,1,0,0,0,3,1,0,3,94,0,0,0,2,5,3,1,4,0,0,34,1,0,4,6,21,0,1,2,0,21,18,0,82,0,22,0,148,48,86,13,0,2,8,1,138,65,6,52,22,29,4,135,2,80,20,872,477,1178,5,343,15,140,11,1,79,38,3,1,1,15,209,74,Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa-Phytomyxea;Plasmodiophorida;Polymyxa-lineage;Polymyxa,plant_parasite,endoparasite,non_motile,soil_and_freshwater
Otu49,0,0,0,0,0,5,0,0,36,0,0,0,4,11,16,0,1,0,0,4,0,0,0,8,4,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allapsidae_X;Allapsidae_X_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu47,1,0,0,57,2,0,0,12,0,20,0,0,0,7,0,13,4,0,0,0,1,0,0,1,0,0,6,8,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allapsidae_X;Allapsidae_X_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu119,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu31,0,0,0,0,0,0,70,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,84,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu44,0,62,0,0,0,0,0,0,0,17,0,1,0,0,0,0,1,0,0,0,19,0,0,3,0,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,16,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Tectofilosida;Tectofilosida_X;Fisculla,eukaryvore,testate_cell_organic,gliding,soil_and_freshwater
Otu42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,12,0,1,0,0,1,0,0,0,90,33,0,1,0,85,0,12,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;Paracercomonadidae;Paracercomonas;Paracercomonas_sp.;,bacterivore,naked_amoeboflagellate,gliding,soil_and_freshwater
Otu24,9,31,17,11,42,9,7,9,0,10,14,12,4,23,56,15,14,7,11,0,32,0,0,0,4,0,2,19,8,0,2,6,9,0,11,0,0,29,0,105,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,33,89,0,0,18,9,34,18,43,12,1,2,18,12,17,15,18,7,6,5,10,36,0,22,4,23,16,0,12,1,17,33,51,20,14,10,6,4,23,139,34,49,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;Paracercomonadidae;Paracercomonas,bacterivore,naked_amoeboflagellate,gliding,soil_and_freshwater
Otu99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa;Vampyrellida;Leptophryidae,NA,NA,NA,NA
Otu23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,23,22,83,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Granofilosea;Limnofilida;Limnofilidae;Limnofilidae_X;Limnofilidae_X_sp.;,bacterivore,naked_amoeboflagellate,gliding,soil_and_freshwater
